1  1  1      60.78787
2  1  1   -1390.64359
2  2  1     -19.95865
2  2  2   -1317.78609
3  1  1      33.25225
3  2  1      48.91353
3  2  2      36.75652
3  3  1     -61.07973
3  3  2     -51.71155
3  3  3   -1959.72070
4  1  1      11.51943
4  2  1     -15.13488
4  2  2       3.53259
4  3  1       1.26584
4  3  2       4.78761
4  3  3     122.21497
4  4  1      13.28958
4  4  2      -0.81992
4  4  3      82.36454
4  4  4    -547.00583
5  1  1      61.93224
5  2  1       3.73811
5  2  2     -64.64604
5  3  1      -4.65507
5  3  2      -0.76613
5  3  3     -55.42053
5  4  1      39.94417
5  4  2      16.68538
5  4  3     -64.36331
5  4  4       6.94740
5  5  1       4.69521
5  5  2     208.51776
5  5  3      33.99751
5  5  4      -0.94655
5  5  5    -124.51557
6  1  1     -46.93697
6  2  1     -10.56443
6  2  2       5.67796
6  3  1       3.15437
6  3  3     -16.25452
6  4  1     -22.56930
6  4  2     -12.03362
6  4  3    -123.80546
6  4  4    -183.43429
6  5  1     -10.74133
6  5  2     -85.68130
6  5  3      80.41212
6  5  4      -9.58865
6  5  5      26.96096
6  6  1      20.86557
6  6  2      39.73428
6  6  3     162.39287
6  6  4    -105.26506
6  6  5     -54.24334
6  6  6     -93.82237
7  1  1     -36.17095
7  2  1     -25.72656
7  2  2     -20.87998
7  3  1      -2.76346
7  3  2       0.97470
7  3  3     -32.04169
7  4  1       9.97642
7  4  2      12.35641
7  4  3     -23.52201
7  4  4     118.72996
7  5  1     143.86737
7  5  2     -14.59220
7  5  3      -3.80264
7  5  4      37.00777
7  5  5     -37.21457
7  6  1     -59.22684
7  6  2       3.22392
7  6  3      -2.09016
7  6  4      68.29557
7  6  5     -14.43840
7  6  6      -1.04947
7  7  1     -35.93641
7  7  2      87.15558
7  7  3       6.95949
7  7  4      -0.34568
7  7  5     -61.43857
7  7  6      -7.52023
7  7  7    -218.64971
8  1  1     -22.81026
8  2  1      24.96791
8  2  2     -19.02996
8  3  1      -1.65821
8  3  2      -3.72111
8  3  3       8.42324
8  4  1     -17.85137
8  4  2     -36.42482
8  4  3      26.50492
8  4  4     -57.79719
8  5  1    -264.75603
8  5  2      -3.09225
8  5  3      -8.28170
8  5  4      -8.38229
8  5  5     -43.74316
8  6  1     112.57248
8  6  2      19.26281
8  6  3     -58.25789
8  6  4       7.21197
8  6  5       2.12226
8  6  6       4.27968
8  7  1      40.76865
8  7  2    -116.56786
8  7  3      17.45529
8  7  4      37.92799
8  7  5     -93.34870
8  7  6      16.47263
8  7  7    -109.15234
8  8  1      20.28356
8  8  2     264.00650
8  8  3      26.03383
8  8  4      33.11559
8  8  5       2.21075
8  8  6     -29.69518
8  8  7     -94.63046
8  8  8    -132.84650
9  1  1      -4.57580
9  2  1      -8.75220
9  2  2      -2.56001
9  3  1       0.22738
9  3  2      -2.23351
9  3  3     -42.07434
9  4  1      23.73607
9  4  2      46.39782
9  4  3     -27.15714
9  4  4      21.68583
9  5  1     296.92096
9  5  2       5.79903
9  5  3      22.39533
9  5  4      -1.19737
9  5  5      -2.43692
9  6  1    -128.38851
9  6  2     -14.09165
9  6  3      72.57123
9  6  4     -11.96906
9  6  5       7.50195
9  6  6      40.13527
9  7  1     -63.52269
9  7  2     166.30073
9  7  3       7.42725
9  7  4     -20.00416
9  7  5     -16.10201
9  7  6     -41.98539
9  7  7     -42.40652
9  8  1     -12.86124
9  8  2    -295.53405
9  8  3      -8.30680
9  8  4     -19.89811
9  8  5     -46.81280
9  8  6     -17.10865
9  8  7      -4.80283
9  8  8      -9.78859
9  9  1     -27.26450
9  9  2     336.46663
9  9  3      17.15534
9  9  4      37.36863
9  9  5      31.37158
9  9  6      23.19837
9  9  7      -9.24550
9  9  8      -1.45259
9  9  9     -33.62568
10 10  1      55.48791
10 10  2      70.43581
10 10  3     481.47721
10 10  4      15.80562
10 10  5      -4.48592
10 10  6     -11.84787
10 10  7      -4.99615
11 10  1      -1.05764
11 10  2    -175.35215
11 10  3     243.45421
11 10  4      14.77331
11 10  5      12.67487
11 10  6     -34.28545
11 10  7      30.36838
11 10  8      14.58753
11 10  9      -8.72752
11 11  1    -300.00766
11 11  2     711.95558
11 11  3     108.40368
11 11  4      76.79871
11 11  5    -145.85010
11 11  6      73.47806
11 11  7     -26.62911
11 11  8      -6.88193
11 11  9     -44.15588
12 10  1    -282.11523
12 10  2    -141.33618
12 10  3      -3.81214
12 10  4     -46.01037
12 10  5      15.93482
12 10  6      -4.87669
12 10  7       6.52224
12 10  8      69.81105
12 10  9      14.09580
12 11  1     843.31539
12 11  2      57.27552
12 11  3     -19.96869
12 11  4     -24.03123
12 11  5     -82.47921
12 11  6      30.02188
12 11  7      24.33763
12 11  8      17.02155
12 11  9      35.73175
12 12  1     555.34552
12 12  2    1147.45617
12 12  3     -47.52338
12 12  4      72.67702
12 12  5     138.74192
12 12  6      -5.19907
12 12  7    -112.22349
12 12  8      20.52528
12 12  9      22.95462
