 1  1  3059.d0
 2  2  3044.d0
 3  3  1569.d0
 4  4  1460.d0
 5  5  1359.d0
 6  6  1168.d0
 7  7  1025.d0
 8  8   757.d0
 9  9   512.d0
10 10   972.d0
11 11   830.d0
12 12   621.d0
13 13   177.d0
14 14   940.d0
15 15   714.d0
16 16   383.d0
17 17  3067.d0
18 18  3008.d0
19 19  1595.d0
20 20  1388.d0
21 21  1265.d0
22 22  1130.d0
23 23   794.d0
24 24   359.d0
25 25   977.d0
26 26   877.d0
27 27   768.d0
28 28   466.d0
29 29  3059.d0
30 30  3024.d0
31 31  1504.d0
32 32  1358.d0
33 33  1210.d0
34 34  1144.d0
35 35  1012.d0
36 36   624.d0
37 37  3055.d0
38 38  3021.d0
39 39  1620.d0
40 40  1459.d0
41 41  1239.d0
42 42  1148.d0
43 43   935.d0
44 44   508.d0
45 45   959.d0
46 46   783.d0
47 47   473.d0
48 48   166.d0

