1 1 1 -806.58383 
2 1 1 185.15743 
2 2 1 -457.56376 
2 2 2 -695.65022 
3 1 1 5.93459 
3 3 1 47.74622 
3 3 2 -16.19285 
3 3 3 -34.54914 
4 1 1 -16.90235 
4 2 1 8.81362 
4 3 1 21.56715 
4 3 2 -45.40278 
4 3 3 -63.15639 
4 4 1 71.80338 
4 4 2 84.16167 
4 4 4 -15.89227 
5 2 2 -7.87922 
5 3 1 -31.48725 
5 3 3 -93.97753 
5 4 1 -14.80433 
5 4 2 20.24402 
5 4 3 59.20909 
5 4 4 19.18594 
5 5 1 15.44572 
5 5 3 -55.48725 
5 5 4 7.70689 
5 5 5 -99.96453 
6 3 1 -71.22694 
6 3 2 8.06195 
6 3 3 -20.7365 
6 4 1 -35.25251 
6 4 2 101.12954 
6 4 3 -6.56314 
6 4 4 11.02765 
6 5 1 32.96342 
6 5 2 -12.93588 
6 5 3 -37.54104 
6 5 4 25.35503 
6 5 5 -29.74868 
6 6 1 172.87299 
6 6 3 -11.99359 
6 6 5 -13.90659 
7 1 1 -17.51171 
7 2 2 -13.52093 
7 3 1 -5.20338 
7 3 2 23.77107 
7 3 3 -75.86232 
7 4 1 -44.75723 
7 4 2 -66.89927 
7 4 3 -34.12326 
7 4 4 -35.63304 
7 5 1 7.34875 
7 5 3 93.41685 
7 5 4 10.71812 
7 5 5 -12.7349 
7 6 1 15.85843 
7 6 2 -78.75013 
7 6 3 -19.84922 
7 6 4 -5.67881 
7 6 5 29.41442 
7 6 6 -30.39873 
7 7 1 47.19425 
7 7 2 56.41038 
7 7 3 -59.28392 
7 7 4 -46.33989 
7 7 5 27.32537 
7 7 6 -31.64257 
7 7 7 -83.87771 
8 1 1 -10.30501 
8 2 2 -7.95739 
8 3 1 20.29854 
8 3 2 -12.50215 
8 3 3 -66.52145 
8 4 1 37.93102 
8 4 2 13.76987 
8 4 3 9.139 
8 4 4 -30.55656 
8 5 1 -9.97306 
8 5 3 -62.13379 
8 5 4 -6.6598 
8 5 5 -148.88027 
8 6 1 -42.33756 
8 6 2 43.74948 
8 6 3 -22.88772 
8 6 4 -8.82733 
8 6 5 -26.64865 
8 7 1 -20.90146 
8 7 2 -18.44397 
8 7 3 12.18358 
8 7 4 -13.27827 
8 7 5 12.80841 
8 7 6 14.0003 
8 7 7 -29.51239 
8 8 1 21.17174 
8 8 3 -43.07704 
8 8 4 19.43714 
8 8 5 -33.27128 
8 8 6 -23.95004 
8 8 7 10.23689 
8 8 8 -70.07675 
9 2 2 -7.35769 
9 3 1 -20.62255 
9 3 3 -19.97289 
9 4 1 -16.68582 
