 1    1           146.43854
 2    2           163.20577
 3    3           385.71865
 4    4           394.83846
 5    5           515.38766
 6    6           538.10452
 7    7           558.97906
 8    8           562.21716
 9    9           691.61744
10   10           735.22084
11   11           762.82313
12   12           774.91081
13   13           817.77239
14   14           968.87120
15   15           976.98080
16   16           992.68957
17   17          1095.28465
18   18          1212.27212
19   19          1246.84738
20   20          1389.19588
21   21          1413.26718
22   22          1427.20426
23   23          1513.40289
24   24          1686.21465
25   25          1790.43310
26   26          1828.61196
27   27          3246.51737
28   28          3291.95118
29   29          3616.36363
30   30          3669.39331
