   1   1  3185.28097
  29  29  3184.54808
  17  17  3172.85405
  37  37  3172.05174
   2   2  3160.64932
  30  30  3157.92051
  18  18  3155.19523
  38  38  3153.89124
  39  39  1661.1164
  19  19  1631.72874
   3   3  1606.55688
  31  31  1542.42702
   4   4  1487.71329
  40  40  1485.74559
  20  20  1415.55216
   5   5  1393.46466
  32  32  1386.3361
  21  21  1283.92895
  41  41  1265.92202
  33  33  1227.77431
   6   6  1182.11259
  42  42  1167.96813
  34  34  1163.8889
  22  22  1147.14896
   7   7  1041.11152
  35  35  1030.13268
  25  25  996.25392
  10  10  990.93831
  45  45  979.33947
  14  14  960.16137
  43  43  948.66792
  26  26  894.74155
  11  11  846.53009
  23  23  804.60078
  46  46  797.02407
  27  27  783.13419
   8   8  770.09813
  15  15  725.96203
  12  12  633.10005
  36  36  629.7924
   9   9  516.63581
  44  44  514.31015
  47  47  482.1664
  28  28  475.12298
  16  16  392.01622
  24  24  362.72032
  13  13  183.91726
  48  48  170.25408
