 1    1     139.7
 2    2     157.9
 3    3     385.6
 4    4     384.4
 5    5     510.8
 6    6     531.1
 7    7     535.3
 8    8     549.4
 9    9     651.4
10   10     715.8
11   11     756.1
12   12     751.8
13   13     803.2
14   14     955.9
15   15     947.5
16   16     979.9
17   17    1060.8
18   18    1179.9
19   19    1214.4
20   20    1351.0
21   21    1382.0
22   22    1394.1
23   23    1462.7
24   24    1642.8
25   25    1729.5
26   26    1761.2
27   27    3081.0
28   28    3133.6
29   29    3435.2
30   30    3486.3
