 1   1     119.1521
 2   2     147.0499
 3   3     379.8529
 4   4     376.1959
 5   5     514.0802
 6   6     535.9847
 7   7     552.2448
 8   8     535.1323
 9   9     672.3560
10  10     725.4048
11  11     757.9652
12  12     766.9413
13  13     807.3468
14  14     956.1699
15  15     966.5878
16  16     991.2994
17  17    1083.2321
18  18    1204.8969
19  19    1241.3237
20  20    1387.9785
21  21    1411.0346
22  22    1423.3087
23  23    1503.6004
24  24    1680.2686
25  25    1787.7683
26  26    1821.2910
27  27    3218.5200
28  28    3260.9859
29  29    3615.9216
30  30    3665.2162
