1  1  3185.81506
2  2  3161.03447
3  3  1606.25525
4  4  1487.62288
5  5  1393.02529
6  6  1182.05109
7  7  1041.20001
8  8   770.15455
9  9   516.86072
10 10  991.02409
11 11  846.34604
12 12  633.08320
13 13  183.78077
14 14  960.08403
15 15  725.94866
16 16  391.97899
17 17 3173.32300
18 18 3155.64460
19 19 1631.19753
20 20 1415.52752
21 21 1283.83899
22 22 1147.00444
23 23  805.06975
24 24  362.15002
25 25  996.31689
26 26  894.66637
27 27  783.07144
28 28  475.15286
29 29 3185.09128
30 30 3158.31181
31 31 1542.52081
32 32 1385.85830
33 33 1228.17703
34 34 1163.81778
35 35 1030.55232
36 36  630.14764
37 37 3172.54441
38 38 3154.33087
39 39 1661.03341
40 40 1485.49301
41 41 1265.81450
42 42 1167.69236
43 43  949.06576
44 44  514.94043
45 45  979.21429
46 46  797.13696
47 47  482.02544
48 48  170.30118
