1 5 5  710.953234430214
2 5 5  64.878889626257
3 5 5  -63.806722373611
1 5 6  2.657484564955
2 5 6  -146.845070821432
3 5 6  179.710423354547
1 1 1  224.656195689124
1 1 2  9.743436879965
1 1 3  -0.356833927660
1 2 2  -35.947092915243
1 2 3  54.988583612040
1 3 3  -35.473276257046
1 6 6  -114.710128886168
1 4 4  -167.017621730998
2 2 2  -91.168805313989
2 2 3  -68.923458760647
2 3 3  -63.879705933448
2 6 6  -10.019684628505
2 4 4  -26.150700254615
3 3 3  2.263530843063
3 6 6  -54.238087008110
3 4 4  28.138417478972
