 1    1     140.4
 2    2     159.1
 3    3     387.4
 4    4     387.9
 5    5     517.2
 6    6     540.8
 7    7     545.3
 8    8     558.7
 9    9     670.3
10   10     727.6
11   11     765.2
12   12     772.8
13   13     813.6
14   14     973.3
15   15     967.7
16   16     995.4
17   17    1084.2
18   18    1205.3
19   19    1248.2
20   20    1394.0
21   21    1414.0
22   22    1427.2
23   23    1505.4
24   24    1677.5
25   25    1761.5
26   26    1790.0
27   27    3217.5
28   28    3252.8
29   29    3602.2
30   30    3652.7
