  1  1  1    -176.0000d0
  4  4  4     -41.8167d0
  1  1  2     -10.5500d0
  4  5  5       4.3500d0
  4  6  6       4.3500d0
  1  2  2       2.2000d0
  4  5  9     -41.2000d0
  4  6  10     -41.2000d0
  1  3  3     -10.5000d0
  4  7  7       4.3500d0
  4  8  8       4.3500d0
  1  3  4     -19.3000d0
  4  7  9     -13.4000d0
  4  8  10     -13.4000d0
  1  5  5    -571.9000d0
  1  6  6    -571.9000d0
  4  9  9     -14.0500d0
  4  10  10     -14.0500d0
  1  5  7     -41.6000d0
  1  6  8     -41.6000d0
  4  9  11      13.4000d0
  4  10  12      13.4000d0
  1  5  9      65.1000d0
  1  6  10      65.1000d0
  4  11  11     -16.4000d0
  4  12  12     -16.4000d0
  1  5  11      17.8000d0
  1  6  12      17.8000d0
  5  5  5    -137.2833d0
  5  6  6     411.8499d0
  1  7  7     -24.4000d0
  1  8  8     -24.4000d0
  5  7  7       8.8000d0
  5  8  8      -8.8000d0
  6  7  8     -17.6000d0
  1  7  9      42.6000d0
  1  8  10      42.6000d0
  5  7  9     -16.4000d0
  5  8  10      16.4000d0
  6  7  10      16.4000d0
  6  8  9      16.4000d0
  1  7  11       9.7000d0
  1  8  12       9.7000d0
  5  9  9      10.5000d0
  5  10  10     -10.5000d0
  6  9  10     -21.0000d0
  1  9  9     -51.6500d0
  1  10  10     -51.6500d0
  5  9  11       9.0000d0
  5  10  12      -9.0000d0
  6  10  11      -9.0000d0
  6  9  12      -9.0000d0
  1  9  11     -15.9000d0
  1  10  12     -15.9000d0
  7  7  7      23.1167d0
  7  8  8     -69.3501d0
  2  2  2    -101.0000d0
  7  7  9     -20.2000d0
  8  8  9      20.2000d0
  7  8  10      40.4000d0
  2  2  3       8.5500d0
  7  9  9     -20.7000d0
  7  10  10      20.7000d0
  8  9  10      41.4000d0
  2  2  4     -96.4500d0
  7  9  11      -7.1000d0
  7  10  12       7.1000d0
  8  10  11       7.1000d0
  8  9  12       7.1000d0
  2  3  3      10.3500d0
  7  11  11      -3.8000d0
  7  12  12       3.8000d0
  8  11  12       7.6000d0
  2  3  4     -37.8000d0
  9  9  9     -12.4333d0
  9  10  10      37.2999d0
  2  4  4      49.6000d0
  9  9  11      -9.2500d0
  10  10  11       9.2500d0
  9  10  12      18.5000d0
  2  5  5     -12.3000d0
  2  6  6     -12.3000d0
  9  11  11      -2.8500d0
  9  12  12       2.8500d0
  10  11  12       5.7000d0
  2  5  9      11.0000d0
  2  6  10      11.0000d0
  2  7  7      -5.0500d0
  2  8  8      -5.0500d0
  2  9  11       7.8000d0
  2  10  12       7.8000d0
  2  11  11      -5.6000d0
  2  12  12      -5.6000d0
  3  3  3      20.0000d0
  3  3  4      21.3000d0
  3  4  4      39.6000d0
  3  5  5      -9.5500d0
  3  6  6      -9.5500d0
  3  5  9     -38.6000d0
  3  6  10     -38.6000d0
  3  5  11      -6.8000d0
  3  6  12      -6.8000d0
  3  7  7     -10.7500d0
  3  8  8     -10.7500d0
  3  9  11       9.4000d0
  3  10  12       9.4000d0
  3  11  11       5.9000d0
  3  12  12       5.9000d0
