  1  4  5  5       3.7500d0
  1  4  6  6       3.7500d0
  3  5  7  11       7.6000d0
  3  5  8  12      -7.6000d0
  3  6  7  12      -7.6000d0
  3  6  8  11      -7.6000d0
  1  4  5  9     -10.4000d0
  1  4  6  10     -10.4000d0
  3  5  9  11     -11.6000d0
  3  5  10  12      11.6000d0
  3  6  9  12      11.6000d0
  3  6  10  11      11.6000d0
  1  4  7  7       7.4000d0
  1  4  8  8       7.4000d0
  3  7  7  7      -1.2000d0
  3  7  8  8       3.6000d0
  1  4  9  11     -11.8000d0
  1  4  10  12     -11.8000d0
  3  7  9  9      -6.4000d0
  3  7  10  10       6.4000d0
  3  8  9  10      12.8000d0
  1  5  5  5      44.73333333333333333d0
  1  5  6  6    -134.2000d0
  3  9  9  9       4.0000d0
  3  9  10  10     -12.0000d0
  1  5  7  7       6.1000d0
  1  5  8  8      -6.1000d0
  1  6  7  8     -12.2000d0
  4  4  4  4       1.1625d0
  1  5  7  11       8.6000d0
  1  5  8  12      -8.6000d0
  1  6  7  12      -8.6000d0
  1  6  8  11      -8.6000d0
  4  4  5  9      -4.5500d0
  4  4  6  10      -4.5500d0
  1  5  9  11     -16.2000d0
  1  5  10  12      16.2000d0
  1  6  9  12      16.2000d0
  1  6  10  11      16.2000d0
  4  4  5  11      -4.3000d0
  4  4  6  12      -4.3000d0
  1  7  7  11       3.5500d0
  1  8  8  11      -3.5500d0
  1  7  8  12      -7.1000d0
  4  5  7  7       6.2000d0
  4  5  8  8      -6.2000d0
  4  6  7  8     -12.4000d0
  1  9  9  9       2.3500d0
  1  9  10  10      -7.0500d0
  4  5  7  11      10.8000d0
  4  5  8  12     -10.8000d0
  4  6  7  12     -10.8000d0
  4  6  8  11     -10.8000d0
  2  2  2  2       4.5792d0
  4  5  9  11     -19.5000d0
  4  5  10  12      19.5000d0
  4  6  9  12      19.5000d0
  4  6  10  11      19.5000d0
  2  2  2  4       5.3167d0
  4  7  7  11       3.5000d0
  4  8  8  11      -3.5000d0
  4  7  8  12      -7.0000d0
  2  2  3  3      -2.0250d0
  4  9  9  9       1.9000d0
  4  9  10  10      -5.7000d0
  2  2  4  4       1.8000d0
  5  5  5  5      24.7750d0
  6  6  6  6      24.7750d0
  5  5  6  6      49.5500d0
  2  2  7  7      -3.1250d0
  2  2  8  8      -3.1250d0
  5  5  5  7       2.1333d0
  5  6  6  7       2.1333d0
  5  5  6  8       2.1333d0
  6  6  6  8       2.1333d0
  2  2  9  9      -2.7500d0
  2  2  10  10      -2.7500d0
  5  5  5  9      -3.2667d0
  5  5  6  10      -3.2667d0
  5  6  6  9      -3.2667d0
  6  6  6  10      -3.2667d0
  2  2  9  11       3.8000d0
  2  2  10  12       3.8000d0
  5  5  9  9      -2.8000d0
  5  5  10  10      -2.8000d0
  6  6  9  9      -2.8000d0
  6  6  10  10      -2.8000d0
  2  4  4  4      -1.2000d0
  5  7  7  7       2.4333d0
  5  7  8  8       2.4333d0
  6  7  7  8       2.4333d0
  6  8  8  8       2.4333d0
  2  4  5  9      -7.5000d0
  2  4  6  10      -7.5000d0
  5  7  7  9      -4.2500d0
  6  7  7  10      -4.2500d0
  5  8  8  9      -4.2500d0
  6  8  8  10      -4.2500d0
  2  4  7  7       4.5500d0
  2  4  8  8       4.5500d0
  5  7  9  9       3.9500d0
  6  8  9  9       3.9500d0
  5  7  10  10       3.9500d0
  6  8  10  10       3.9500d0
  2  4  9  9       4.3000d0
  2  4  10  10       4.3000d0
  5  7  9  11       8.1000d0
  6  8  10  12       8.1000d0
  5  7  10  12       8.1000d0
  6  8  9  11       8.1000d0
  1  1  1  1      12.4208d0
  2  5  9  11      -8.2000d0
  2  5  10  12       8.2000d0
  2  6  9  12       8.2000d0
  2  6  10  11       8.2000d0
  5  9  9  9       1.8333d0
  5  9  10  10       1.8333d0
  6  9  9  10       1.8333d0
  6  10  10  10       1.8333d0
  1  1  1  2       1.2167d0
  2  9  9  9       1.3500d0
  2  9  10  10      -4.0500d0
  5  9  9  11      -6.6500d0
  6  9  9  12      -6.6500d0
  5  10  10  11      -6.6500d0
  6  10  10  12      -6.6500d0
  1  1  1  3       1.8833d0
  3  3  3  3      -3.2417d0
  5  9  11  11      -4.1000d0
  5  9  12  12      -4.1000d0
  6  10  11  11      -4.1000d0
  6  10  12  12      -4.1000d0
  1  1  5  5      87.5500d0
  1  1  6  6      87.5500d0
  3  3  3  4       1.7000d0
  5  11  11  11      -1.3667d0
  5  11  12  12      -1.3667d0
  6  11  11  12      -1.3667d0
  6  12  12  12      -1.3667d0
  1  1  5  7       7.5000d0
  1  1  6  8       7.5000d0
  3  3  7  9       7.3000d0
  3  3  8  10       7.3000d0
  7  7  7  7       0.7708d0
  8  8  8  8       0.7708d0
  7  7  8  8       1.5416d0
  1  1  5  9      -5.9500d0
  1  1  6  10      -5.9500d0
  3  3  9  9      -4.4000d0
  3  3  10  10      -4.4000d0
  7  7  7  9      -2.1667d0
  7  8  8  9      -2.1667d0
  7  7  8  10      -2.1667d0
  8  8  8  10      -2.1667d0
  1  1  5  11      -3.5500d0
  1  1  6  12      -3.5500d0
  3  4  5  9      -8.8000d0
  3  4  6  10      -8.8000d0
  7  7  9  9       4.5000d0
  7  7  10  10       4.5000d0
  8  8  9  9       4.5000d0
  8  8  10  10       4.5000d0
  1  2  5  5       4.8500d0
  1  2  6  6       4.8500d0
  3  4  5  11      -7.3000d0
  3  4  6  12      -7.3000d0
  9  9  9  9      -0.9875d0
  10  10  10  10      -0.9875d0
  9  9  10  10      -1.9750d0
  1  3  3  3      -1.1667d0
  3  4  7  7       4.8500d0
  3  4  8  8       4.8500d0
  11  11  11  11       0.8042d0
  12  12  12  12       0.8042d0
  11  11  12  12       1.6084d0
  1  3  5  5       6.8000d0
  1  3  6  6       6.8000d0
  3  4  9  9       5.7000d0
  3  4  10  10       5.7000d0
  1  3  5  9      -7.8000d0
  1  3  6  10      -7.8000d0
  3  4  9  11      -7.7000d0
  3  4  10  12      -7.7000d0
  1  3  7  7       5.4000d0
  1  3  8  8       5.4000d0
  3  5  5  5       1.633333333333333333333333333d0
  3  5  6  6      -4.9000d0
  1  4  4  4       1.5000d0
  3  5  7  7       4.3000d0
  3  5  8  8      -4.3000d0
  3  6  7  8      -8.6000d0
